Data,Hora,Temperatura (°C),Umidade (%),Peso (g),Luminosidade (lumens)
2023-01-04,06:00:00,23.8,76.1,0.0,511.2
2023-01-04,07:00:00,25.1,76.0,0.0,550.7
2023-01-04,08:00:00,23.6,68.6,0.0,808.0
2023-01-04,09:00:00,23.0,75.5,0.0,566.7
2023-01-04,10:00:00,23.9,72.9,0.0,526.4
2023-01-04,11:00:00,25.0,72.6,0.0,992.0
2023-01-04,12:00:00,25.1,60.8,0.0,505.7
2023-01-04,13:00:00,27.9,68.7,0.0,783.9
2023-01-04,14:00:00,27.1,64.1,0.0,545.6
2023-01-04,15:00:00,25.7,67.5,0.0,936.3
2023-01-04,16:00:00,27.3,63.6,0.0,566.9
2023-01-04,17:00:00,27.0,65.4,0.0,964.3
2023-01-04,18:00:00,21.3,69.8,0.0,178.7
2023-01-04,19:00:00,20.6,76.6,0.0,213.3
2023-01-04,20:00:00,22.2,73.4,0.0,237.5
2023-01-04,21:00:00,22.6,66.9,0.0,227.8
2023-01-04,22:00:00,22.6,70.7,0.0,154.0
2023-01-04,23:00:00,20.9,71.5,0.0,102.9
2023-01-05,00:00:00,19.5,73.0,0.0,139.0
2023-01-05,01:00:00,21.4,78.0,0.0,243.3
2023-01-05,02:00:00,19.5,78.7,0.0,230.6
2023-01-05,03:00:00,20.6,77.0,0.0,219.1
2023-01-05,04:00:00,18.7,73.8,0.0,242.3
2023-01-05,05:00:00,17.1,80.0,0.0,217.6
2023-01-05,06:00:00,24.5,77.8,0.0,899.3
2023-01-05,07:00:00,22.5,72.3,0.0,588.7
2023-01-05,08:00:00,23.7,77.3,0.0,937.3
2023-01-05,09:00:00,25.4,73.2,0.0,604.4
2023-01-05,10:00:00,24.4,71.8,0.0,972.4
2023-01-05,11:00:00,25.1,70.9,0.0,571.7
2023-01-05,12:00:00,24.5,57.1,0.0,705.0
2023-01-05,13:00:00,27.0,67.0,0.0,886.0
2023-01-05,14:00:00,27.2,65.2,0.0,520.6
2023-01-05,15:00:00,26.8,63.7,0.0,700.5
2023-01-05,16:00:00,27.8,56.6,0.0,966.3
2023-01-05,17:00:00,25.8,57.2,0.0,623.5
2023-01-05,18:00:00,23.3,72.1,0.0,219.4
2023-01-05,19:00:00,21.3,76.0,0.0,131.2
2023-01-05,20:00:00,22.0,69.3,0.0,209.9
2023-01-05,21:00:00,23.2,73.8,0.0,239.8
2023-01-05,22:00:00,21.8,78.2,0.0,102.8
2023-01-05,23:00:00,22.5,68.6,0.0,238.5
2023-01-06,00:00:00,20.0,77.6,0.0,229.2
2023-01-06,01:00:00,20.0,80.0,0.0,238.0
2023-01-06,02:00:00,19.9,75.9,0.0,210.3
2023-01-06,03:00:00,21.0,75.0,0.0,255.0
2023-01-06,04:00:00,19.7,80.0,0.0,120.8
2023-01-06,05:00:00,18.4,73.7,0.0,138.1
2023-01-06,06:00:00,22.6,70.6,0.0,666.1
2023-01-06,07:00:00,23.9,71.1,0.0,705.4
2023-01-06,08:00:00,22.8,73.4,0.0,818.4
2023-01-06,09:00:00,25.2,73.4,0.0,781.0
2023-01-06,10:00:00,24.6,71.3,0.0,643.5
2023-01-06,11:00:00,25.6,69.4,0.0,946.2
2023-01-06,12:00:00,25.3,66.2,0.0,749.6
2023-01-06,13:00:00,25.6,66.9,0.0,684.0
2023-01-06,14:00:00,27.9,60.2,0.0,647.0
2023-01-06,15:00:00,26.4,62.2,0.0,857.4
2023-01-06,16:00:00,26.0,64.7,0.0,908.3
2023-01-06,17:00:00,26.2,66.1,0.0,877.8
2023-01-06,18:00:00,20.2,69.9,0.0,157.5
2023-01-06,19:00:00,22.4,69.7,0.0,243.5
2023-01-06,20:00:00,21.2,67.0,0.0,110.8
2023-01-06,21:00:00,22.7,67.9,0.0,114.9
2023-01-06,22:00:00,21.1,72.4,0.0,152.5
2023-01-06,23:00:00,20.3,78.2,0.0,268.6
2023-01-07,00:00:00,20.9,75.0,0.0,280.4
2023-01-07,01:00:00,17.7,79.8,0.0,298.5
2023-01-07,02:00:00,21.2,74.0,0.0,169.6
2023-01-07,03:00:00,20.3,73.4,0.0,263.6
2023-01-07,04:00:00,18.4,80.0,0.0,296.7
2023-01-07,05:00:00,18.4,80.0,0.0,270.1
2023-01-07,06:00:00,22.4,71.1,0.0,670.4
2023-01-07,07:00:00,24.4,76.7,0.0,645.4
2023-01-07,08:00:00,25.2,75.2,0.0,546.7
2023-01-07,09:00:00,24.6,76.7,0.0,595.8
2023-01-07,10:00:00,24.9,75.8,0.0,508.0
2023-01-07,11:00:00,22.9,78.2,0.0,614.9
2023-01-07,12:00:00,25.2,66.3,0.0,715.0
2023-01-07,13:00:00,26.1,58.2,0.0,736.7
2023-01-07,14:00:00,27.8,57.9,0.0,979.1
2023-01-07,15:00:00,25.5,64.0,0.0,898.8
2023-01-07,16:00:00,26.9,66.6,0.0,622.9
2023-01-07,17:00:00,25.5,63.3,0.0,503.7
2023-01-07,18:00:00,20.3,73.1,0.0,123.9
2023-01-07,19:00:00,22.3,69.0,0.0,117.3
2023-01-07,20:00:00,21.3,77.1,0.0,198.0
2023-01-07,21:00:00,22.7,73.9,0.0,100.3
2023-01-07,22:00:00,22.6,73.8,0.0,298.4
2023-01-07,23:00:00,21.4,66.3,0.0,217.6
2023-01-08,00:00:00,19.9,76.8,0.0,270.6
2023-01-08,01:00:00,19.2,77.3,0.0,266.8
2023-01-08,02:00:00,17.3,79.6,0.0,179.6
2023-01-08,03:00:00,20.6,77.9,0.0,290.8
2023-01-08,04:00:00,18.9,77.0,0.0,134.5
2023-01-08,05:00:00,18.6,79.6,0.0,285.1
2023-01-08,06:00:00,26.0,68.2,0.0,569.1
2023-01-08,07:00:00,25.6,71.2,0.0,534.4
2023-01-08,08:00:00,24.7,73.7,0.0,921.5
2023-01-08,09:00:00,26.8,75.7,0.0,756.0
2023-01-08,10:00:00,24.0,73.0,0.0,648.9
2023-01-08,11:00:00,22.8,73.8,0.0,895.7
2023-01-08,12:00:00,26.7,60.0,0.0,986.3
2023-01-08,13:00:00,27.5,62.3,0.0,879.4
2023-01-08,14:00:00,27.9,62.3,0.0,849.6
2023-01-08,15:00:00,26.4,60.6,0.0,581.4
2023-01-08,16:00:00,26.0,66.6,0.0,845.6
2023-01-08,17:00:00,25.7,60.1,0.0,683.0
2023-01-08,18:00:00,22.5,65.9,0.0,198.6
2023-01-08,19:00:00,21.9,77.6,0.0,294.1
2023-01-08,20:00:00,23.2,74.7,0.0,153.9
2023-01-08,21:00:00,23.7,73.1,0.0,118.4
2023-01-08,22:00:00,22.2,78.3,0.0,139.6
2023-01-08,23:00:00,22.2,70.2,0.0,294.2
2023-01-09,00:00:00,19.6,75.0,0.0,110.5
2023-01-09,01:00:00,20.3,79.1,0.0,233.0
2023-01-09,02:00:00,17.8,72.2,0.0,257.3
2023-01-09,03:00:00,19.5,74.0,0.0,202.0
2023-01-09,04:00:00,21.5,71.2,0.0,293.1
2023-01-09,05:00:00,20.2,80.0,0.0,147.8
2023-01-09,06:00:00,23.1,73.7,0.0,915.3
2023-01-09,07:00:00,23.1,68.0,0.0,977.5
2023-01-09,08:00:00,25.2,73.4,0.0,699.9
2023-01-09,09:00:00,23.3,77.1,0.0,772.0
2023-01-09,10:00:00,22.9,75.4,0.0,813.4
2023-01-09,11:00:00,25.5,69.6,0.0,544.3
2023-01-09,12:00:00,27.3,58.2,172.47,506.4
2023-01-09,13:00:00,27.6,63.7,0.0,701.4
2023-01-09,14:00:00,26.9,59.4,0.0,613.1
2023-01-09,15:00:00,25.8,58.6,0.0,638.9
2023-01-09,16:00:00,24.1,64.1,0.0,514.6
2023-01-09,17:00:00,27.6,60.5,0.0,967.7
2023-01-09,18:00:00,22.1,72.4,0.0,218.9
2023-01-09,19:00:00,21.9,66.4,0.0,145.7
2023-01-09,20:00:00,22.3,66.8,0.0,296.8
2023-01-09,21:00:00,23.1,74.1,0.0,167.0
2023-01-09,22:00:00,23.1,72.1,0.0,219.7
2023-01-09,23:00:00,23.1,76.5,0.0,264.2
2023-01-10,00:00:00,20.0,77.0,0.0,201.0
2023-01-10,01:00:00,19.4,76.3,0.0,186.0
2023-01-10,02:00:00,21.4,76.8,0.0,287.5
2023-01-10,03:00:00,20.9,77.6,0.0,272.2
2023-01-10,04:00:00,20.0,79.9,0.0,232.2
2023-01-10,05:00:00,18.6,80.0,0.0,122.6
2023-01-10,06:00:00,24.7,69.3,0.0,889.6
2023-01-10,07:00:00,24.1,76.9,0.0,651.6
2023-01-10,08:00:00,24.9,76.5,0.0,897.6
2023-01-10,09:00:00,24.8,73.8,0.0,778.8
2023-01-10,10:00:00,25.4,68.5,0.0,530.6
2023-01-10,11:00:00,23.8,72.3,0.0,547.2
2023-01-10,12:00:00,26.9,57.7,0.0,914.6
2023-01-10,13:00:00,26.5,63.9,0.0,883.7
2023-01-10,14:00:00,28.8,60.0,0.0,734.3
2023-01-10,15:00:00,27.0,58.7,0.0,718.6
2023-01-10,16:00:00,25.8,62.0,0.0,968.8
2023-01-10,17:00:00,26.7,61.6,0.0,949.6
2023-01-10,18:00:00,21.2,77.8,0.0,120.2
2023-01-10,19:00:00,23.3,73.1,0.0,277.3
2023-01-10,20:00:00,22.7,77.8,0.0,225.4
2023-01-10,21:00:00,20.7,72.3,0.0,264.9
2023-01-10,22:00:00,21.1,76.5,0.0,278.6
2023-01-10,23:00:00,20.5,70.2,0.0,284.2
2023-01-11,00:00:00,19.3,72.3,0.0,133.0
2023-01-11,01:00:00,19.2,74.0,0.0,116.4
2023-01-11,02:00:00,19.2,80.0,0.0,222.8
2023-01-11,03:00:00,18.2,73.2,0.0,281.5
2023-01-11,04:00:00,17.8,75.2,0.0,237.2
2023-01-11,05:00:00,19.4,75.8,0.0,215.2
2023-01-11,06:00:00,24.0,70.0,0.0,600.1
2023-01-11,07:00:00,24.2,69.0,0.0,834.0
2023-01-11,08:00:00,22.9,75.3,0.0,926.6
2023-01-11,09:00:00,25.2,77.5,0.0,912.2
2023-01-11,10:00:00,25.9,70.7,0.0,883.1
2023-01-11,11:00:00,25.8,71.1,0.0,527.1
2023-01-11,12:00:00,26.2,68.2,0.0,685.3
2023-01-11,13:00:00,26.8,68.0,0.0,875.4
2023-01-11,14:00:00,28.7,59.6,0.0,669.8
2023-01-11,15:00:00,28.4,62.4,0.0,694.8
2023-01-11,16:00:00,27.6,63.7,0.0,626.3
2023-01-11,17:00:00,26.2,60.1,0.0,836.6
2023-01-11,18:00:00,22.3,69.6,0.0,281.9
2023-01-11,19:00:00,21.8,71.2,0.0,159.3
2023-01-11,20:00:00,21.1,70.8,0.0,230.0
2023-01-11,21:00:00,21.3,71.4,0.0,108.7
2023-01-11,22:00:00,23.4,77.4,0.0,189.2
2023-01-11,23:00:00,22.4,67.1,0.0,217.9
2023-01-12,00:00:00,20.3,74.8,0.0,147.8
2023-01-12,01:00:00,19.4,79.5,0.0,267.8
2023-01-12,02:00:00,19.6,79.9,0.0,251.1
2023-01-12,03:00:00,19.9,74.0,0.0,112.7
2023-01-12,04:00:00,19.5,76.5,0.0,156.7
2023-01-12,05:00:00,20.6,80.0,0.0,163.8
2023-01-12,06:00:00,24.6,68.8,0.0,873.1
2023-01-12,07:00:00,25.5,72.5,0.0,736.6
2023-01-12,08:00:00,24.1,73.7,0.0,638.6
2023-01-12,09:00:00,23.2,69.7,0.0,534.2
2023-01-12,10:00:00,24.1,68.5,0.0,764.7
2023-01-12,11:00:00,23.7,71.1,0.0,728.6
2023-01-12,12:00:00,26.7,56.4,0.0,590.9
2023-01-12,13:00:00,26.9,66.8,0.0,919.9
2023-01-12,14:00:00,25.9,69.1,0.0,906.1
2023-01-12,15:00:00,26.2,59.9,0.0,982.2
2023-01-12,16:00:00,27.9,59.8,0.0,890.1
2023-01-12,17:00:00,25.1,60.7,0.0,587.3
2023-01-12,18:00:00,23.0,74.3,0.0,249.0
2023-01-12,19:00:00,22.3,71.5,0.0,288.2
2023-01-12,20:00:00,20.6,73.1,0.0,149.4
2023-01-12,21:00:00,22.8,67.9,0.0,141.4
2023-01-12,22:00:00,21.5,77.7,0.0,175.9
2023-01-12,23:00:00,22.1,70.8,0.0,274.8
2023-01-13,00:00:00,17.8,72.8,0.0,210.9
2023-01-13,01:00:00,19.0,75.2,0.0,120.3
2023-01-13,02:00:00,19.5,72.7,0.0,184.8
2023-01-13,03:00:00,20.9,76.0,0.0,277.5
2023-01-13,04:00:00,18.5,77.3,0.0,147.7
2023-01-13,05:00:00,17.6,73.2,0.0,245.6
2023-01-13,06:00:00,24.7,70.4,0.0,786.8
2023-01-13,07:00:00,24.4,69.4,0.0,744.2
2023-01-13,08:00:00,25.6,75.0,0.0,652.6
2023-01-13,09:00:00,23.4,71.6,0.0,638.0
2023-01-13,10:00:00,24.0,71.8,0.0,714.3
2023-01-13,11:00:00,25.2,75.1,0.0,918.0
2023-01-13,12:00:00,27.2,58.9,0.0,625.6
2023-01-13,13:00:00,28.3,68.1,0.0,727.5
2023-01-13,14:00:00,27.9,61.3,0.0,997.9
2023-01-13,15:00:00,26.2,66.3,0.0,625.4
2023-01-13,16:00:00,27.7,65.3,0.0,936.5
2023-01-13,17:00:00,27.2,60.3,0.0,765.7
2023-01-13,18:00:00,22.1,78.0,0.0,249.8
2023-01-13,19:00:00,22.4,68.5,0.0,172.2
2023-01-13,20:00:00,21.4,76.0,0.0,198.8
2023-01-13,21:00:00,21.7,74.1,0.0,173.3
2023-01-13,22:00:00,20.7,70.6,0.0,224.5
2023-01-13,23:00:00,23.0,74.6,0.0,267.5
2023-01-14,00:00:00,20.3,80.0,0.0,202.9
2023-01-14,01:00:00,19.6,80.0,0.0,154.5
2023-01-14,02:00:00,18.9,79.2,0.0,130.1
2023-01-14,03:00:00,19.5,72.9,0.0,223.8
2023-01-14,04:00:00,17.2,74.0,0.0,210.2
2023-01-14,05:00:00,21.3,80.0,0.0,212.7
2023-01-14,06:00:00,26.2,68.7,0.0,740.4
2023-01-14,07:00:00,26.4,70.0,0.0,584.0
2023-01-14,08:00:00,24.3,72.0,0.0,791.5
2023-01-14,09:00:00,23.0,76.6,0.0,523.9
2023-01-14,10:00:00,24.8,76.0,0.0,884.5
2023-01-14,11:00:00,22.8,67.3,0.0,670.7
2023-01-14,12:00:00,25.9,65.4,0.0,607.0
2023-01-14,13:00:00,25.7,62.0,0.0,684.8
2023-01-14,14:00:00,27.5,66.4,0.0,977.7
2023-01-14,15:00:00,27.2,65.8,0.0,649.3
2023-01-14,16:00:00,26.0,62.1,0.0,841.4
2023-01-14,17:00:00,27.5,66.5,0.0,610.3
2023-01-14,18:00:00,21.2,73.3,0.0,176.6
2023-01-14,19:00:00,21.4,71.9,0.0,194.7
2023-01-14,20:00:00,20.6,66.5,0.0,272.5
2023-01-14,21:00:00,21.3,70.9,0.0,101.9
2023-01-14,22:00:00,21.8,70.3,0.0,179.1
2023-01-14,23:00:00,21.9,74.8,0.0,160.0
2023-01-15,00:00:00,17.9,77.5,0.0,265.4
2023-01-15,01:00:00,18.7,72.7,0.0,118.5
2023-01-15,02:00:00,19.0,80.0,0.0,127.8
2023-01-15,03:00:00,21.6,73.6,0.0,148.4
2023-01-15,04:00:00,18.9,75.0,0.0,282.2
2023-01-15,05:00:00,21.3,80.0,0.0,267.6
2023-01-15,06:00:00,24.3,70.8,0.0,665.0
2023-01-15,07:00:00,24.6,74.5,0.0,905.3
2023-01-15,08:00:00,25.3,68.3,0.0,997.2
2023-01-15,09:00:00,23.8,68.0,0.0,880.6
2023-01-15,10:00:00,25.0,69.0,0.0,862.5
2023-01-15,11:00:00,24.5,72.3,0.0,958.1
2023-01-15,12:00:00,25.4,59.4,0.0,599.9
2023-01-15,13:00:00,27.6,60.3,0.0,872.0
2023-01-15,14:00:00,24.6,57.5,0.0,751.9
2023-01-15,15:00:00,27.1,61.7,0.0,729.9
2023-01-15,16:00:00,27.4,63.7,0.0,591.5
2023-01-15,17:00:00,25.4,61.5,0.0,887.9
2023-01-15,18:00:00,21.6,68.2,0.0,139.5
2023-01-15,19:00:00,21.7,71.2,0.0,216.6
2023-01-15,20:00:00,20.2,70.0,0.0,233.9
2023-01-15,21:00:00,21.5,71.9,0.0,277.4
2023-01-15,22:00:00,22.8,73.3,0.0,146.5
2023-01-15,23:00:00,20.5,72.7,0.0,159.3
2023-01-16,00:00:00,19.0,73.1,0.0,201.0
2023-01-16,01:00:00,18.7,75.8,0.0,260.6
2023-01-16,02:00:00,19.8,80.0,0.0,296.9
2023-01-16,03:00:00,17.5,77.1,0.0,146.5
2023-01-16,04:00:00,20.8,78.3,0.0,253.6
2023-01-16,05:00:00,19.6,76.6,0.0,275.2
2023-01-16,06:00:00,23.2,73.4,0.0,705.1
2023-01-16,07:00:00,24.8,68.8,0.0,736.7
2023-01-16,08:00:00,25.9,69.6,0.0,724.4
2023-01-16,09:00:00,24.1,67.6,0.0,924.2
2023-01-16,10:00:00,22.9,73.6,0.0,924.2
2023-01-16,11:00:00,25.3,69.8,0.0,719.2
2023-01-16,12:00:00,24.8,59.4,247.47,880.4
2023-01-16,13:00:00,25.4,62.3,0.0,547.1
2023-01-16,14:00:00,27.5,60.9,0.0,721.2
2023-01-16,15:00:00,27.8,57.5,0.0,951.7
2023-01-16,16:00:00,24.9,60.6,0.0,901.3
2023-01-16,17:00:00,26.0,65.7,0.0,601.7
2023-01-16,18:00:00,23.0,67.5,0.0,181.7
2023-01-16,19:00:00,22.4,78.4,0.0,278.1
2023-01-16,20:00:00,22.4,73.5,0.0,104.3
2023-01-16,21:00:00,21.1,76.0,0.0,290.1
2023-01-16,22:00:00,22.7,71.9,0.0,181.3
2023-01-16,23:00:00,22.9,72.1,0.0,187.9
2023-01-17,00:00:00,20.9,80.0,0.0,150.1
2023-01-17,01:00:00,21.2,80.0,0.0,196.9
2023-01-17,02:00:00,20.0,76.6,0.0,211.9
2023-01-17,03:00:00,21.1,78.2,0.0,275.8
2023-01-17,04:00:00,18.7,74.2,0.0,269.7
2023-01-17,05:00:00,18.0,74.4,0.0,154.6
2023-01-17,06:00:00,25.4,76.5,0.0,993.8
2023-01-17,07:00:00,25.0,76.8,0.0,731.9
2023-01-17,08:00:00,23.4,76.9,0.0,747.3
2023-01-17,09:00:00,23.3,75.6,0.0,722.1
2023-01-17,10:00:00,25.4,74.7,0.0,789.0
2023-01-17,11:00:00,24.5,78.4,0.0,664.2
2023-01-17,12:00:00,25.0,61.5,0.0,722.2
2023-01-17,13:00:00,26.7,61.0,0.0,583.9
2023-01-17,14:00:00,27.2,68.6,0.0,521.3
2023-01-17,15:00:00,26.7,60.8,0.0,887.6
2023-01-17,16:00:00,25.6,66.9,0.0,831.4
2023-01-17,17:00:00,27.3,61.5,0.0,944.3
2023-01-17,18:00:00,22.6,70.4,0.0,186.5
2023-01-17,19:00:00,21.7,79.4,0.0,172.6
2023-01-17,20:00:00,22.1,72.6,0.0,176.3
2023-01-17,21:00:00,21.2,71.9,0.0,241.7
2023-01-17,22:00:00,22.9,69.3,0.0,255.4
2023-01-17,23:00:00,21.0,71.1,0.0,285.3
2023-01-18,00:00:00,20.7,80.0,0.0,102.3
2023-01-18,01:00:00,20.9,75.4,0.0,121.2
2023-01-18,02:00:00,19.1,80.0,0.0,110.5
2023-01-18,03:00:00,17.9,75.1,0.0,160.4
2023-01-18,04:00:00,19.5,80.0,0.0,196.8
2023-01-18,05:00:00,19.7,77.3,0.0,222.8
2023-01-18,06:00:00,24.0,68.4,0.0,707.2
2023-01-18,07:00:00,24.8,76.5,0.0,927.2
2023-01-18,08:00:00,24.9,75.0,0.0,965.6
2023-01-18,09:00:00,24.7,78.7,0.0,525.9
2023-01-18,10:00:00,24.7,71.1,0.0,599.6
2023-01-18,11:00:00,24.5,78.2,0.0,897.6
2023-01-18,12:00:00,25.9,63.0,0.0,659.7
2023-01-18,13:00:00,24.6,62.5,0.0,762.3
2023-01-18,14:00:00,25.0,61.7,0.0,638.4
2023-01-18,15:00:00,27.6,62.1,0.0,700.4
2023-01-18,16:00:00,26.7,61.3,0.0,762.8
2023-01-18,17:00:00,27.6,61.1,0.0,1000.0
2023-01-18,18:00:00,22.1,68.6,0.0,173.0
2023-01-18,19:00:00,21.7,71.1,0.0,201.8
2023-01-18,20:00:00,20.4,73.5,0.0,108.5
2023-01-18,21:00:00,22.8,71.3,0.0,108.0
2023-01-18,22:00:00,22.7,67.5,0.0,164.5
2023-01-18,23:00:00,22.7,72.7,0.0,171.1
2023-01-19,00:00:00,20.4,75.2,0.0,137.0
2023-01-19,01:00:00,20.9,76.6,0.0,191.1
2023-01-19,02:00:00,21.2,75.2,0.0,226.3
2023-01-19,03:00:00,18.5,76.9,0.0,164.0
2023-01-19,04:00:00,20.0,78.0,0.0,219.6
2023-01-19,05:00:00,19.6,78.8,0.0,232.5
2023-01-19,06:00:00,26.2,70.8,0.0,538.0
2023-01-19,07:00:00,23.9,69.5,0.0,921.9
2023-01-19,08:00:00,24.2,69.8,0.0,511.6
2023-01-19,09:00:00,24.0,77.3,0.0,809.1
2023-01-19,10:00:00,25.4,67.3,0.0,536.7
2023-01-19,11:00:00,23.4,67.9,0.0,969.0
2023-01-19,12:00:00,27.4,64.6,0.0,663.0
2023-01-19,13:00:00,27.0,61.1,0.0,919.6
2023-01-19,14:00:00,25.9,68.6,0.0,636.1
2023-01-19,15:00:00,27.0,61.8,0.0,777.9
2023-01-19,16:00:00,26.9,64.6,0.0,653.4
2023-01-19,17:00:00,26.9,66.1,0.0,581.3
2023-01-19,18:00:00,21.8,79.1,0.0,256.9
2023-01-19,19:00:00,22.1,71.5,0.0,165.9
2023-01-19,20:00:00,22.8,69.9,0.0,156.6
2023-01-19,21:00:00,23.7,71.7,0.0,153.8
2023-01-19,22:00:00,22.2,70.6,0.0,282.5
2023-01-19,23:00:00,21.6,76.9,0.0,169.2
2023-01-20,00:00:00,17.3,74.8,0.0,137.2
2023-01-20,01:00:00,19.0,78.5,0.0,246.1
2023-01-20,02:00:00,20.2,77.6,0.0,162.4
2023-01-20,03:00:00,19.9,77.8,0.0,247.5
2023-01-20,04:00:00,19.5,73.1,0.0,133.0
2023-01-20,05:00:00,19.2,80.0,0.0,235.2
2023-01-20,06:00:00,23.2,70.2,0.0,710.5
2023-01-20,07:00:00,23.8,70.9,0.0,615.1
2023-01-20,08:00:00,23.8,68.2,0.0,862.9
2023-01-20,09:00:00,25.5,75.9,0.0,651.4
2023-01-20,10:00:00,24.8,75.8,0.0,693.7
2023-01-20,11:00:00,25.3,71.9,0.0,932.8
2023-01-20,12:00:00,25.5,63.4,0.0,913.9
2023-01-20,13:00:00,27.1,62.4,0.0,866.2
2023-01-20,14:00:00,28.5,68.6,0.0,859.0
2023-01-20,15:00:00,26.7,57.7,0.0,838.8
2023-01-20,16:00:00,26.3,62.0,0.0,564.1
2023-01-20,17:00:00,27.0,61.5,0.0,974.7
2023-01-20,18:00:00,21.5,67.2,0.0,166.1
2023-01-20,19:00:00,20.7,73.2,0.0,188.2
2023-01-20,20:00:00,22.3,77.4,0.0,262.2
2023-01-20,21:00:00,20.6,76.5,0.0,292.3
2023-01-20,22:00:00,22.7,69.8,0.0,225.2
